#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       8.897057209646e+01       2.232803276884e-04      -1.345178432235e+00       2.617618726593e-05       1.093886076297e-06       2.734715190742e-06       6.478229868215e-11       5.469430381485e-07      -1.008883824194e+00       2.617619117267e-05       5.930754280447e-01       6.640912034404e-01      -1.345178301246e+00       2.616457584874e-05       3.086110143440e-04      -1.008883955495e+00       2.619143359618e-05 
       9.021035025534e+01       2.268345838805e-04      -1.344907619606e+00       2.649492697547e-05       1.142559914559e-06       2.856399786397e-06       6.983625239182e-11       5.712799572794e-07      -1.008680714727e+00       2.649493155941e-05       5.934163125597e-01       6.641697899964e-01      -1.344907468998e+00       2.648279970052e-05       3.173118185492e-04      -1.008680865296e+00       2.651077532200e-05 
       9.145012841422e+01       2.304010141217e-04      -1.344711031496e+00       2.681415672432e-05       1.192787366792e-06       2.981968416979e-06       7.521686157527e-11       5.963936833958e-07      -1.008533273651e+00       2.681416203634e-05       5.937408602429e-01       6.642299522473e-01      -1.344710860404e+00       2.680149750882e-05       3.261177840831e-04      -1.008533444243e+00       2.683062161047e-05 
       9.268990657310e+01       2.339796184119e-04      -1.344583541819e+00       2.713383478359e-05       1.244598547376e-06       3.111496368441e-06       8.094103476849e-11       6.222992736882e-07      -1.008437656400e+00       2.713384087701e-05       5.940500132220e-01       6.642729719087e-01      -1.344583349350e+00       2.712062728261e-05       3.350290571396e-04      -1.008437847788e+00       2.715093082053e-05 
       9.392968473199e+01       2.375703967510e-04      -1.344520413790e+00       2.745392208051e-05       1.298023587856e-06       3.245058969639e-06       8.702632355515e-11       6.490117939278e-07      -1.008390310386e+00       2.745392901113e-05       5.943446490222e-01       6.643000333539e-01      -1.344520199024e+00       2.744014968559e-05       3.440457704333e-04      -1.008390523360e+00       2.747166396568e-05 
       9.598385053619e+01       2.435466877730e-04      -1.344545872788e+00       2.798507244397e-05       1.390176345674e-06       3.475440864186e-06       9.795300376501e-11       6.950881728371e-07      -1.008409404651e+00       2.798508089154e-05       5.948030426358e-01       6.643126486982e-01      -1.344545618979e+00       2.797032681887e-05       3.592177962797e-04      -1.008409655179e+00       2.800391699997e-05 
       9.803801634038e+01       2.495563996897e-04      -1.344718108226e+00       2.851709367895e-05       1.486982534129e-06       3.717456335323e-06       1.100086165137e-10       7.434912670646e-07      -1.008538581249e+00       2.851710381597e-05       5.952272040058e-01       6.642889339290e-01      -1.344717812644e+00       2.850132728827e-05       3.746800835841e-04      -1.008538871635e+00       2.853708186185e-05 
       1.000921821446e+02       2.555995325014e-04      -1.345021228863e+00       2.904984805605e-05       1.588583454682e-06       3.971458636704e-06       1.232859440144e-10       7.942917273408e-07      -1.008765921749e+00       2.904986006782e-05       5.956201681470e-01       6.642328624052e-01      -1.345020888645e+00       2.903301214146e-05       3.904330279387e-04      -1.008766254382e+00       2.907102118591e-05 
       1.021463479488e+02       2.616760862078e-04      -1.345441186602e+00       2.958321143478e-05       1.695122193334e-06       4.237805483336e-06       1.378835682158e-10       8.475610966672e-07      -1.009080890079e+00       2.958322552000e-05       5.959846517562e-01       6.641479466100e-01      -1.345440798750e+00       2.956525600547e-05       4.064769522823e-04      -1.009081267431e+00       2.960561118378e-05 
       1.042005137530e+02       2.677860608091e-04      -1.345965536233e+00       3.011707177482e-05       1.806743630324e-06       4.516859075809e-06       1.539061316060e-10       9.033718151618e-07      -1.009474152334e+00       3.011708814622e-05       5.963230914559e-01       6.640372982235e-01      -1.345965097612e+00       3.009794559840e-05       4.228121138724e-04      -1.009474576963e+00       3.014074015539e-05 
